"Time (s)","Sound pressure level (dB)"
0.000000000E0,6.055469869E1
1.117487916E-1,6.155410002E1
2.166091250E-1,5.810237584E1
3.235252501E-1,5.929902041E1
4.333220833E-1,5.814198154E1
5.448668334E-1,5.844586021E1
6.560714584E-1,5.863033369E1
7.665750417E-1,5.944608660E1
8.782720000E-1,5.830582741E1
9.833235834E-1,5.755786431E1
1.095199000E0,5.680847552E1
1.199903833E0,5.914096154E1
1.311801000E0,6.133899215E1
1.416577250E0,5.151026407E1
1.528164333E0,4.701877314E1
1.633251333E0,4.592324402E1
1.744873250E0,4.817695333E1
1.849898083E0,4.415489817E1
1.961463333E0,4.478855534E1
2.072726833E0,5.769105598E1
2.183199792E0,6.030872097E1
2.287382708E0,6.106462114E1
2.394218458E0,5.809883998E1
2.501764750E0,6.088738449E1
2.612500792E0,6.054589691E1
2.716404250E0,6.306105448E1
2.821929292E0,5.964299438E1
2.933070083E0,6.128346179E1
3.043737000E0,5.971151839E1
3.149766458E0,5.628921359E1
3.260638625E0,6.235916181E1
3.366539958E0,6.082281777E1
3.474981042E0,6.109408576E1
3.583113667E0,6.185099098E1
3.689585667E0,6.237825002E1
3.799852750E0,5.949837806E1
3.904060167E0,5.719709265E1
4.009230500E0,6.550153634E1
4.118475458E0,6.676139377E1
4.229133375E0,6.596081562E1
4.335664167E0,6.491391819E1
4.447340667E0,6.348802244E1
4.549649208E0,6.033270307E1
4.657846958E0,5.960336051E1
4.766448875E0,6.090245994E1
4.876485292E0,6.334995727E1
4.983008583E0,6.148024123E1
5.090981333E0,6.125523019E1
5.199787375E0,6.110213349E1
5.306308458E0,6.238133369E1
5.416470583E0,6.053194573E1
5.520722583E0,6.051577737E1
5.623607375E0,5.650226170E1
5.735217875E0,5.523613956E1
5.845348625E0,6.089366442E1
5.949740458E0,5.967093067E1
6.054601208E0,6.241663725E1
6.164134917E0,5.659687945E1
6.266367542E0,6.369865853E1
6.371987083E0,6.353327927E1
6.483030542E0,6.414141586E1
6.593025833E0,6.253632935E1
6.699687458E0,6.395519577E1
6.807585958E0,6.183706795E1
6.916338875E0,6.030979757E1
7.021813333E0,5.989360238E1
7.132440917E0,5.827063008E1
7.236467125E0,6.113790172E1
7.347310792E0,5.847826095E1
7.450680875E0,5.913446740E1
7.561301125E0,6.142929973E1
7.666206083E0,6.021334829E1
7.776883083E0,5.500269466E1
7.882865792E0,5.759506627E1
7.989426792E0,5.713907289E1
8.099651292E0,5.911950366E1
8.209776583E0,6.436287411E1
8.316279000E0,6.233824170E1
8.424245042E0,6.267989885E1
8.532944792E0,6.178741592E1
8.638707917E0,6.398936789E1
8.749461375E0,6.519363383E1
8.852475333E0,6.254860393E1
8.963240625E0,5.698978736E1
9.067619917E0,5.772367104E1
9.174219750E0,6.063621122E1
9.282784250E0,6.727064788E1
9.393411458E0,6.826191941E1
9.499434833E0,6.704832355E1
9.610236333E0,6.639437640E1
9.716174042E0,7.067625967E1
9.826508042E0,6.535322436E1
9.932752500E0,6.489973933E1
1.004094879E1,6.095198589E1
1.014952575E1,5.627106079E1
1.025541683E1,6.266687950E1
1.036159358E1,6.300469698E1
1.046989200E1,6.360706700E1
1.057350904E1,6.575348796E1
1.068272013E1,6.493439021E1
1.079044196E1,6.341048984E1
1.089938033E1,6.290035906E1
1.100739521E1,5.781801098E1
1.111604588E1,5.598233677E1
1.122405333E1,5.514017009E1
1.133280029E1,5.405018226E1
1.144043625E1,6.267360406E1
1.154946221E1,6.245186758E1
1.165736617E1,6.179187869E1
1.176611075E1,6.592711171E1
1.187216629E1,6.648398443E1
1.198276192E1,6.497305072E1
1.209040954E1,6.446187278E1
1.219944300E1,6.382383197E1
1.230711008E1,6.637685054E1
1.241608554E1,6.623136138E1
1.252406358E1,6.728945478E1
1.263273029E1,6.635469863E1
1.274138104E1,6.806251637E1
1.284940771E1,6.645093452E1
1.295808433E1,6.312229552E1
1.306605071E1,6.352415872E1
1.317468767E1,6.287113099E1
1.328272204E1,6.567037801E1
1.339136408E1,6.762178337E1
1.349930738E1,6.400381197E1
1.360804167E1,6.389287782E1
1.371604687E1,6.543034259E1
1.382475517E1,6.547055971E1
1.393267725E1,6.555438925E1
1.404133475E1,6.371680827E1
1.414929592E1,6.286338551E1
1.425811154E1,5.790946744E1
1.436599142E1,5.544997790E1
1.447471038E1,5.324376701E1
1.458266467E1,5.348678701E1
1.469136304E1,6.303938717E1
1.479922283E1,5.486244778E1
1.490801429E1,4.872876377E1
1.501592658E1,6.140996782E1
1.512468037E1,6.221616426E1
1.523263375E1,6.275368563E1
1.534125850E1,6.355782189E1
1.544927083E1,6.514269351E1
1.555801088E1,6.347539337E1
1.566599658E1,6.284704759E1
1.577470842E1,6.271839625E1
1.588255738E1,6.156299274E1
1.599135467E1,6.005500272E1
1.609926325E1,6.142978223E1
1.620801317E1,6.132834580E1
1.631592138E1,5.991201626E1
1.642468008E1,6.009824464E1
1.653259438E1,5.980889655E1
1.664137346E1,6.105030055E1
1.674926279E1,6.124457632E1
1.685740096E1,6.158153724E1
1.696590846E1,6.142192917E1
1.707457738E1,6.400876030E1
1.718251683E1,6.192243633E1
1.729134625E1,6.235416391E1
1.739920046E1,6.106372444E1
1.750791050E1,6.248981841E1
1.761584983E1,6.467533382E1
1.772469979E1,6.091640062E1
1.783253233E1,6.135887518E1
1.794137667E1,6.450503385E1
1.804919092E1,6.924770596E1
1.815801363E1,6.566371069E1
1.826581708E1,6.212733432E1
1.837467892E1,6.284334064E1
1.848251229E1,6.445669248E1
1.859137200E1,6.253251347E1
1.869915225E1,6.160213783E1
1.880792704E1,6.164147374E1
1.891569500E1,6.246773186E1
1.902470371E1,6.603079480E1
1.913247154E1,6.241047819E1
1.924086762E1,6.254141100E1
1.934912067E1,6.053150519E1
1.945805108E1,6.187347582E1
1.956573642E1,6.234953726E1
1.967471633E1,6.345436907E1
1.978241525E1,6.345037355E1
1.989134417E1,6.066062072E1
1.999909633E1,6.089697844E1
2.010808108E1,6.654093586E1
2.021575096E1,6.659903222E1
2.032436029E1,6.602882389E1
2.043239717E1,6.532625866E1
2.054137679E1,6.389654578E1
2.064905467E1,6.649767690E1
2.075800017E1,6.362349433E1
2.086568279E1,6.661761767E1
2.097470150E1,6.539917464E1
